"SOURCE","TARGET"
"Scott Cutler","Alex Schwartz"
"Tramar Dillard","Alex Schwartz"
"Tim James","Antonina Armato"
"Tom Sturges","Antonina Armato"
"Adam Schmalholz","Antonina Armato"
"Brenden Murray","Gazzy Garcia"
"Gerrell Nealy","Gazzy Garcia"
"Curtis Jackson","Jayceon Taylor"
"Andre Lyon","Jayceon Taylor"
"Marcello Valenzano","Jayceon Taylor"
"Timothy Thomas","Theron Thomas"
"Lukasz Gottwald","Theron Thomas"
"Henry Walter","Theron Thomas"
"Toni Tennille","Theron Thomas"
"Giorgio Tuinfort","Aliaune Thiam"
"Claude Kelly","Aliaune Thiam"
"Trent Reznor","Montero Hill"
"Aticus Ross","Montero Hill"
"Kiowa Roukema","Montero Hill"
"Khaled Khaled","Jahron Braithwaite"
"Robyn Fenty","Jahron Braithwaite"
"Bryson Tiller","Jahron Braithwaite"
"Jerry Duplessis","Jahron Braithwaite"
"Wyclef Jean","Jahron Braithwaite"
"David McRae","Jahron Braithwaite"
"Marvin Moore-Hough","Jahron Braithwaite"
"Carlos Santana","Jahron Braithwaite"
"Ciara Harris","Melissa Elliott"
"Isaac Freeman","Melissa Elliott"
"Michael Tucker","Justin Bieber"
"Sonny Moore","Justin Bieber"
"Justin Tranter","Justin Bieber"
"Julia Michaels","Justin Bieber"
"Jacob Luttrell","Enrique Iglesias"
"Lauren Christy","Enrique Iglesias"
"Christopher Bridges","Enrique Iglesias"
"Michael Tyler","Jonathan Smith"
"Bobby Sandimanie","Jonathan Smith"
"Craig Lawson","Jonathan Smith"
"apl.de.ap","William Adams"
"Taboo","William Adams"
"Justin Timberlake","William Adams"
"Printz Board","William Adams"
"Michael Fratantuno","William Adams"
"George Pajon","William Adams"
"Robert Wilson","Dwayne Carter"
"Darius Harrison","Dwayne Carter"
"Curtis Stewart","Dwayne Carter"
"Rob Fusari","Kool Moe Dee"
"Will Smith","Kool Moe Dee"
"Stevie Wonder","Kool Moe Dee"
"Steve Guess","William Grigahcine"
"Jonathan Smith","William Grigahcine"
"Martin Bresso","William Grigahcine"
"Zara Larsson","Uzoechi Emenike"
"Arron Davey","Uzoechi Emenike"
"Lukasz Gottwald","Armando C. Pérez"
"Henry Walter","Armando C. Pérez"
