Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
57,Coppin State,15,2,13,0.133,-27.37,-12.63,,2,10,,1,6,,1,7,,767,988,,600,359,940,0.382,78,268,0.291,192,288,0.667,200,574,164,166,53,217,253
58,Creighton,22,10,12,0.455,8.62,11.07,,6,7,,3,6,,7,6,,1367,1421,,885,541,1283,0.422,109,357,0.305,230,310,0.742,174,716,300,164,94,265,320
59,Davidson,23,8,15,0.348,-5.54,-1.45,,5,10,,6,6,,3,8,,1438,1532,,920,560,1324,0.423,130,422,0.308,282,396,0.712,214,797,256,162,50,309,379
60,Dayton,19,14,5,0.737,5.76,-2.55,,12,1,,6,4,,8,1,,1267,1109,,765,390,1082,0.36,114,378,0.302,215,304,0.707,131,532,206,120,58,232,302
61,Delaware,29,24,5,0.828,7.68,-2.9,,16,2,,15,2,,9,3,,2161,1754,,1165,627,1582,0.396,140,468,0.299,360,518,0.695,261,892,326,173,57,512,508
62,Delaware State,15,3,12,0.2,-21.24,-15.24,,2,8,,2,7,,1,5,,870,899,,599,321,807,0.398,75,254,0.295,182,277,0.657,171,501,148,98,43,261,255
63,Denver,23,7,16,0.304,-5.99,0.05,,5,9,,4,6,,3,10,,1652,1791,,925,668,1540,0.434,195,580,0.336,260,383,0.679,265,832,349,153,63,280,440
64,DePaul,24,14,10,0.583,11.78,8.62,,11,5,,8,8,,6,2,,1957,1881,,966,734,1533,0.479,156,449,0.347,257,376,0.684,244,866,422,194,100,491,383
65,Detroit Mercy,14,1,13,0.071,-14.38,1.12,,1,9,,0,8,,1,5,,804,1021,,565,367,813,0.451,89,283,0.314,198,321,0.617,189,536,247,137,65,238,254
66,Drake,30,18,12,0.6,13.54,6.71,,13,5,,11,4,,7,8,,2292,2087,,1205,758,1889,0.401,235,705,0.333,336,463,0.726,276,878,405,290,97,420,503
67,Drexel NCAA,23,14,9,0.609,-0.08,-3.51,,8,6,,3,3,,11,5,,1407,1328,,924,483,1258,0.384,126,437,0.288,236,341,0.692,287,807,261,121,62,392,336
68,Duke,4,3,1,0.75,12.9,-1.61,,0,1,,3,1,,,,,298,240,,160,97,262,0.37,18,67,0.269,28,45,0.622,44,110,34,35,9,43,54
69,Duquesne,16,5,11,0.313,-8.11,-2.42,,4,7,,2,3,,3,8,,999,1090,,649,395,939,0.421,116,323,0.359,184,274,0.672,157,561,234,108,61,233,294
70,East Carolina,22,8,14,0.364,1.19,5.33,,6,10,,4,6,,4,8,,1326,1417,,879,495,1164,0.425,104,341,0.305,323,465,0.695,238,790,335,184,78,467,361
71,East Tennessee State,20,4,16,0.2,-17.57,-8.26,,1,10,,2,6,,2,10,,1166,1274,,809,443,1100,0.403,127,387,0.328,261,367,0.711,200,665,236,164,49,340,335
72,Eastern Illinois,26,11,15,0.423,-4.37,-2.45,,9,11,,7,6,,4,9,,1686,1736,,1039,610,1396,0.437,191,522,0.366,325,455,0.714,239,806,360,199,83,424,398
73,Eastern Kentucky,24,9,15,0.375,-8.63,0.25,,8,12,,4,6,,5,9,,1493,1706,,959,618,1510,0.409,158,582,0.271,312,416,0.75,274,821,386,208,83,321,390
74,Eastern Michigan,20,10,10,0.5,2.43,0.58,,7,7,,4,6,,6,4,,1281,1244,,798,414,1115,0.371,117,387,0.302,299,433,0.691,156,684,209,140,50,323,334
75,Eastern Washington,23,6,17,0.261,-15.2,-4.79,,5,12,,3,10,,3,7,,1435,1605,,920,575,1360,0.423,170,510,0.333,285,361,0.789,255,761,318,208,51,328,335
76,Elon,15,7,8,0.467,-2,-1.8,,3,5,,4,3,,3,5,,947,950,,600,337,828,0.407,101,260,0.388,175,240,0.729,149,495,177,126,50,274,286
77,Evansville,23,6,17,0.261,-15.81,2.69,,2,15,,5,8,,1,9,,1257,1580,,924,565,1429,0.395,215,705,0.305,235,329,0.714,266,833,367,244,84,280,394
78,Fairfield,16,11,5,0.688,-7.29,-12.54,,9,3,,5,2,,6,3,,945,861,,639,315,873,0.361,105,346,0.303,126,187,0.674,158,505,180,102,32,235,213
79,FDU,24,16,8,0.667,-14.72,-16.43,,12,6,,8,4,,8,4,,1446,1405,,966,533,1367,0.39,120,417,0.288,219,314,0.697,218,762,276,152,64,339,375
80,Florida,26,12,14,0.462,10.88,9.11,,3,11,,9,6,,3,8,,1872,1826,,1047,705,1670,0.422,132,441,0.299,284,399,0.712,257,864,328,173,101,340,428
81,Florida Atlantic,22,11,11,0.5,-2.49,-2.3,,8,8,,8,2,,3,9,,1598,1498,,879,519,1337,0.388,135,443,0.305,325,486,0.669,248,738,274,181,39,332,376
82,Florida Gulf Coast NCAA,29,26,3,0.897,13.86,-6.77,,16,0,,15,2,,11,0,,2366,1632,,1161,591,1523,0.388,113,420,0.269,337,515,0.654,202,936,265,134,52,474,432
83,Florida International,28,15,13,0.536,-6.62,-3.34,,8,8,,6,8,,8,5,,2064,1846,,1141,697,1575,0.443,173,503,0.344,279,443,0.63,274,881,389,188,96,371,437
84,Florida State NCAA,19,10,9,0.526,15.39,15.91,,9,7,,8,2,,2,6,,1240,1250,,771,465,1141,0.408,114,374,0.305,206,306,0.673,199,622,251,110,70,288,334
85,Fordham,18,12,6,0.667,1.83,-2.56,,8,2,,7,2,,5,4,,1113,1034,,719,399,1032,0.387,81,269,0.301,155,237,0.654,149,513,195,131,49,196,277
86,Fresno State,28,17,11,0.607,9.84,2.73,,12,6,,9,7,,8,4,,2177,1978,,1136,771,1871,0.412,203,619,0.328,233,334,0.698,310,1014,404,172,93,389,425
87,Furman,25,11,14,0.44,-12.04,-5.85,,6,8,,9,1,,2,13,,1494,1409,,1005,527,1272,0.414,121,389,0.311,234,335,0.699,242,678,273,202,77,294,357
88,Gardner-Webb,24,11,13,0.458,-19.38,-15.05,,10,7,,6,4,,5,9,,1528,1632,,959,581,1268,0.458,140,379,0.369,330,482,0.685,187,828,328,181,76,502,386
89,George Mason,22,3,19,0.136,-16.85,-2.94,,0,14,,3,9,,0,10,,1116,1422,,882,533,1363,0.391,167,513,0.326,189,260,0.727,242,780,268,177,71,256,330
90,George Washington,23,9,14,0.391,-3.16,-2.57,,5,9,,8,4,,1,10,,1290,1250,,925,455,1185,0.384,143,462,0.31,197,275,0.716,209,737,238,165,72,354,343
