Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
67,Delaware,29,11,18,0.379,-3.85,-5.82,,7,10,,4,9,,6,6,,1958,1901,,73.8,88.4,0.266,0.322,0.479,48.5,59.3,10.6,9.1,0.451,20,28.9,0.178
68,Delaware State,27,8,19,0.296,-24.61,-5.89,,4,10,,5,7,,3,12,,1555,1916,,71.7,98,0.234,0.339,0.518,53.7,59.4,13,8.3,0.498,20,37.1,0.157
69,Denver,29,8,21,0.276,-9.24,-3.21,,5,11,,5,10,,3,11,,1871,2018,,69,100.9,0.277,0.276,0.532,52.8,49.6,8.3,7.9,0.493,16.7,28.7,0.216
70,DePaul,31,12,19,0.387,8.06,7.99,,4,14,,9,8,,2,9,,2215,2213,,74.5,95,0.277,0.323,0.524,49.8,57.9,9.3,7.5,0.492,20.4,28.3,0.201
71,Detroit Mercy,33,17,16,0.515,-8.84,-5.63,,9,11,,10,3,,6,13,,1988,2094,,69.6,90.8,0.298,0.336,0.476,46.7,50.1,13.3,6.9,0.436,16.8,27.5,0.215
72,Drake,30,25,5,0.833,13.27,1.84,,18,1,,15,2,,10,3,,2428,2085,,75.9,90.9,0.194,0.347,0.499,44,54.4,11.3,9.4,0.473,18,23.5,0.144
73,Drexel,28,14,14,0.5,-2.96,-4.25,,9,8,,9,6,,5,7,,1595,1536,,63.5,86,0.241,0.294,0.482,50.1,55,9.8,7.3,0.452,22.4,30.3,0.17
74,Duke,30,20,10,0.667,27.67,16.37,,11,7,,14,3,,5,7,,2075,1736,,69.4,82.4,0.309,0.281,0.451,45.9,45.6,11.9,6.8,0.408,21.4,30.7,0.218
75,Duquesne,30,19,11,0.633,2.85,-0.45,,13,5,,10,3,,8,6,,2098,1999,,70.3,93.6,0.269,0.348,0.487,49,56.8,8.9,9.7,0.449,16.6,28.6,0.199
76,East Carolina,29,16,13,0.552,7.43,3.77,,9,9,,10,6,,6,5,,1930,1824,,72.1,85.8,0.321,0.318,0.476,51,63.4,12.2,5.6,0.44,24.8,39.2,0.217
77,East Tennessee State,30,18,12,0.6,-5.16,-7.55,,7,7,,12,3,,5,8,,1783,1669,,64.3,86.5,0.251,0.341,0.458,49.3,47,9.7,6.9,0.43,19.6,30.3,0.167
78,Eastern Illinois,32,15,17,0.469,-9.56,-7.84,,11,7,,8,4,,6,11,,2113,2168,,70.8,93.6,0.235,0.301,0.489,48.2,57.1,13.3,6.6,0.46,17.5,30.4,0.168
79,Eastern Kentucky,31,21,10,0.677,-4.28,-6.89,,9,7,,11,3,,9,6,,2213,1958,,74.3,85,0.301,0.308,0.488,47.7,51.3,10.1,7.8,0.449,22.6,27.3,0.216
80,Eastern Michigan,28,6,22,0.214,-16.53,-4.42,,2,15,,4,8,,2,14,,1602,1904,,70.3,95.8,0.294,0.338,0.514,50.7,57.6,12.3,6.3,0.482,19.2,31.3,0.209
81,Eastern Washington,31,26,5,0.839,7.93,-3.66,,16,2,,12,2,,12,3,,2141,1731,,68.4,81.3,0.255,0.29,0.45,48,49.8,9.8,6.3,0.407,21.2,27.5,0.194
82,Elon,30,11,19,0.367,-13.19,-4.48,,7,10,,2,10,,9,8,,1603,1840,,68.8,89.1,0.283,0.339,0.479,51.6,57.5,11.2,7.9,0.441,20.7,33.4,0.204
83,Evansville,30,4,26,0.133,-19.5,-1.44,,2,17,,2,12,,2,14,,1901,2443,,76.7,104.4,0.324,0.297,0.546,53.7,53.1,13.6,11.1,0.511,16.6,31.4,0.237
84,Fairfield,28,27,1,0.964,6.53,-10.55,,19,0,,12,0,,15,1,,2048,1500,,70.3,75.9,0.315,0.327,0.44,46.5,51.9,10.8,5.9,0.398,24.1,27.8,0.217
85,FDU,29,13,16,0.448,-17.24,-12.74,,11,5,,8,6,,5,10,,1702,1780,,65.5,93.3,0.263,0.284,0.48,48.8,54.5,10.9,8.1,0.439,17.2,31.1,0.203
86,Florida,30,16,14,0.533,16.68,12.15,,5,11,,8,5,,3,9,,2255,2119,,76.1,92.5,0.353,0.291,0.495,51.9,48.6,9.2,7.3,0.452,20.4,34.9,0.253
87,Florida A&M,28,8,20,0.286,-16.66,-5.8,,7,10,,6,5,,2,15,,1666,1970,,71.9,96.1,0.405,0.309,0.513,53.7,55.2,11.9,8.8,0.47,21.7,39,0.283
88,Florida Atlantic,29,11,18,0.379,-3.93,1.14,,6,12,,6,8,,5,9,,1781,1905,,68.1,96,0.217,0.309,0.479,51.3,55.8,11.6,10.5,0.452,16.6,35.4,0.154
89,Florida Gulf Coast,30,26,4,0.867,14.33,-2.78,,16,0,,15,0,,9,3,,2250,1630,,68.6,79.2,0.288,0.278,0.473,45.4,39.5,8.1,9.7,0.441,24.6,24.9,0.194
90,Florida International,29,20,9,0.69,-1.47,-4.83,,11,4,,13,5,,7,4,,2027,1850,,74.3,85.9,0.342,0.322,0.475,46.7,48.1,11.4,9,0.444,21.7,30.1,0.216
91,Florida State,31,22,9,0.71,20.65,12.23,,12,6,,13,3,,7,4,,2475,2214,,76.8,91.5,0.186,0.304,0.462,51.7,53.3,7,7.4,0.437,16,32.3,0.132
92,Fordham,29,12,17,0.414,-2.73,-0.51,,7,10,,10,6,,2,10,,1811,1803,,69,89.8,0.237,0.381,0.502,48.4,60.7,10.9,5.6,0.472,22.3,30.5,0.173
93,Fresno State,31,14,17,0.452,-3.31,-3,,7,11,,10,7,,3,9,,2024,1952,,68.2,92.4,0.286,0.3,0.524,49.8,47.9,9,8.9,0.493,22,28.3,0.204
94,Furman,31,15,16,0.484,-11.91,-8.26,,5,9,,11,4,,3,10,,2051,1986,,70.5,90.9,0.238,0.324,0.478,45.4,50.7,11.5,10.2,0.453,17.8,28.9,0.157
95,Gardner-Webb,30,6,24,0.2,-23.78,-9.34,,5,11,,4,9,,2,14,,1868,2301,,74.1,103.5,0.363,0.322,0.527,53.8,53.2,11,7.9,0.49,16.6,35.5,0.257
96,George Mason,29,23,6,0.793,11.7,-0.37,,14,4,,12,1,,11,5,,2062,1673,,70.5,81.5,0.275,0.356,0.458,47.6,52.7,8.6,6.6,0.425,23,30.6,0.185
97,George Washington,31,13,18,0.419,-3.16,-1.39,,6,12,,10,5,,3,9,,1812,1804,,67.1,86.7,0.318,0.306,0.474,47.2,48.9,13.3,10.4,0.435,20.1,27.3,0.22
98,Georgetown,29,19,10,0.655,8.64,5.33,,9,9,,9,5,,10,5,,1688,1592,,64.9,84.2,0.255,0.307,0.455,47.3,57.3,12.3,7.2,0.418,19.8,29.1,0.182
99,Georgia,30,12,18,0.4,9.92,13.62,,3,13,,8,7,,1,9,,1895,2006,,71.3,93.4,0.271,0.359,0.48,49.5,63.2,10.9,5.4,0.449,17.6,32.9,0.184
100,Georgia Southern,33,15,18,0.455,-6,-4.71,,4,14,,8,7,,5,10,,2385,2323,,80.2,87.7,0.326,0.298,0.467,47.8,50.4,11.3,5.6,0.43,20.8,34.2,0.219
