Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
84,Florida State NCAA,19,10,9,0.526,15.39,15.91,,9,7,,8,2,,2,6,,1240,1250,,71.5,90.8,0.268,0.328,0.486,50.7,54,8,8.5,0.457,18.3,31.7,0.181
85,Fordham,18,12,6,0.667,1.83,-2.56,,8,2,,7,2,,5,4,,1113,1034,,65.6,87.6,0.23,0.261,0.452,43.7,48.9,11.1,8.7,0.426,14.6,24.4,0.15
86,Fresno State,28,17,11,0.607,9.84,2.73,,12,6,,9,7,,8,4,,2177,1978,,74.4,93.7,0.179,0.331,0.487,51.4,52.4,8.1,7.7,0.466,16.1,30.2,0.125
87,Furman,25,11,14,0.44,-12.04,-5.85,,6,8,,9,1,,2,13,,1494,1409,,63.7,88,0.263,0.306,0.492,45.4,51.8,12.6,8.9,0.462,17,30,0.184
88,Gardner-Webb,24,11,13,0.458,-19.38,-15.05,,10,7,,6,4,,5,9,,1528,1632,,75.7,89.8,0.38,0.299,0.545,52,56.5,10,7.4,0.513,25.1,28.9,0.26
89,George Mason,22,3,19,0.136,-16.85,-2.94,,0,14,,3,9,,0,10,,1116,1422,,68,94.4,0.191,0.376,0.478,50.8,50.3,11.8,9.3,0.452,14.7,32.1,0.139
90,George Washington,23,9,14,0.391,-3.16,-2.57,,5,9,,8,4,,1,10,,1290,1250,,65.4,82.6,0.232,0.39,0.475,51,52.3,10.9,7.2,0.444,21.2,30,0.166
91,Georgetown,17,2,15,0.118,-1.85,10.62,,2,14,,1,7,,1,8,,856,1068,,66.6,93,0.276,0.383,0.486,48.8,69,13.1,8.9,0.446,16.8,30.3,0.207
92,Georgia NCAA,28,21,7,0.75,24.09,13.27,,10,5,,11,3,,9,3,,1997,1694,,74.5,80.5,0.293,0.228,0.45,45.5,42.5,10.7,6.7,0.41,20.3,26.5,0.205
93,Georgia Southern,24,11,13,0.458,-10.54,-9.44,,5,9,,9,5,,2,8,,1813,1552,,77.5,83.4,0.333,0.377,0.501,41.7,51,12,6.1,0.466,20,25.5,0.229
94,Georgia State,24,13,11,0.542,-9.89,-8.76,,9,7,,7,5,,6,6,,1605,1538,,75.1,84.5,0.333,0.298,0.462,54.6,53.1,9.6,10.6,0.422,19.3,33.2,0.227
95,Georgia Tech NCAA,26,17,9,0.654,20.18,16.14,,12,6,,10,3,,5,5,,1706,1601,,68.1,89.6,0.227,0.263,0.48,47.7,49.4,8.1,7.2,0.451,16.5,25.3,0.161
96,Gonzaga NCAA,27,23,4,0.852,20.24,4.46,,16,1,,12,1,,11,2,,1917,1444,,66,80.7,0.29,0.325,0.468,36.8,55.4,10.8,4,0.432,19.1,18.6,0.201
97,Grambling,20,10,10,0.5,-12.73,-12.63,,8,6,,6,2,,4,8,,1266,1268,,73.3,86.5,0.447,0.262,0.48,52.4,54.5,9.8,7.3,0.442,22,34.6,0.281
98,Grand Canyon,25,18,7,0.72,-2.16,-8.98,,8,4,,13,1,,5,6,,1845,1412,,70.5,79.3,0.428,0.377,0.512,48.3,60,8.1,5.5,0.473,25.1,28.1,0.286
99,Green Bay,22,15,7,0.682,5.2,-0.21,,14,4,,6,4,,9,3,,1427,1308,,66.5,88.9,0.239,0.497,0.478,50.3,62.1,10.1,6,0.445,19.5,32.2,0.174
100,Hampton,15,4,11,0.267,-25.27,-17.87,,4,9,,3,5,,1,6,,839,950,,71.5,88.5,0.38,0.347,0.515,54.9,61,9.7,8.2,0.482,23.5,31.4,0.251
101,Hartford,12,3,9,0.25,-24.04,-12.04,,3,9,,2,6,,1,3,,617,761,,71.4,88.8,0.278,0.328,0.475,50.6,58.3,12.4,8.2,0.436,17.5,28.1,0.202
102,Hawaii,17,9,8,0.529,-2.86,-1.66,,7,6,,4,2,,5,6,,1080,953,,64.4,85.9,0.261,0.32,0.473,43.8,48.7,9.5,10.2,0.436,13.7,24.3,0.191
103,High Point NCAA,29,22,7,0.759,-8.55,-16.8,,17,3,,13,4,,9,2,,2094,1753,,71.4,84.7,0.283,0.263,0.447,52.3,45.3,7.9,9.5,0.408,15.7,27.9,0.199
104,Hofstra,20,8,12,0.4,-9.96,-4.31,,5,7,,4,4,,4,8,,1193,1306,,72.8,89.1,0.306,0.387,0.49,51.3,59.8,11.3,5.6,0.455,21.5,35.1,0.212
105,Holy Cross,15,7,8,0.467,-10.34,-9.01,,7,7,,4,2,,3,6,,913,933,,70.6,88.2,0.169,0.334,0.501,50.6,55,9.9,9.4,0.486,20.6,26.5,0.11
106,Houston,25,17,8,0.68,11.87,7.07,,12,5,,8,4,,9,4,,1663,1543,,76.8,80.3,0.335,0.278,0.464,50,57,12.9,8.3,0.42,23.4,29.8,0.237
107,Houston Christian,22,11,11,0.5,-19.19,-17.13,,6,7,,7,3,,3,8,,1435,1039,,63.5,74.4,0.354,0.199,0.483,44.2,51.2,9.4,3.9,0.439,19.8,25.4,0.251
108,Howard,19,15,4,0.789,-9.36,-15.84,,10,2,,9,1,,6,3,,1292,1169,,79.2,77.7,0.283,0.34,0.424,47.7,55.3,9.2,8,0.382,21.1,32.6,0.197
109,Idaho,24,17,7,0.708,1.4,-2.85,,14,3,,11,1,,6,6,,1731,1629,,73.6,91.7,0.188,0.314,0.477,48.4,42.2,7.9,9.8,0.459,15.2,27.1,0.121
110,Idaho State NCAA,26,22,4,0.846,7.14,-4.19,,15,2,,14,0,,8,3,,1867,1493,,70.9,80.6,0.297,0.368,0.449,45.1,46.7,10,4.8,0.4,18.4,24.4,0.224
111,Illinois,23,5,18,0.217,5.54,16.02,,2,16,,5,7,,0,11,,1370,1611,,74.9,93.5,0.29,0.333,0.494,51.7,58.4,12.2,6.4,0.457,17,30.6,0.21
112,Illinois State,24,15,9,0.625,10.13,3.61,,11,6,,8,5,,7,4,,1640,1392,,67.6,85.3,0.281,0.386,0.49,47.3,59.8,10.2,7.7,0.451,19.3,22.2,0.21
113,Illinois-Chicago,19,3,16,0.158,-12.97,0.53,,1,13,,2,7,,1,9,,1156,1321,,72.9,94.8,0.347,0.326,0.544,55.3,63.7,13.2,6.8,0.509,21.3,33.8,0.248
114,Incarnate Word,15,6,9,0.4,-20.17,-11.89,,4,5,,4,3,,2,6,,897,891,,65.9,89.4,0.284,0.305,0.513,50.3,55.1,10.8,6.1,0.48,18.6,29.5,0.204
115,Indiana NCAA,27,21,6,0.778,30.16,15.64,,16,2,,10,3,,8,2,,2010,1618,,73.5,81.6,0.226,0.274,0.452,46.8,41.4,7.2,6.3,0.418,18.3,21.2,0.165
116,Indiana State,20,5,15,0.25,-11.51,1.69,,2,12,,3,6,,2,9,,1251,1515,,72.2,103.7,0.333,0.355,0.553,51.6,63,9.4,8.3,0.526,17.4,30.3,0.229
117,Iona,15,6,9,0.4,-19.35,-17.68,,5,6,,3,4,,3,5,,820,845,,68.8,81.9,0.337,0.289,0.466,54.3,57.8,13.5,6.9,0.418,24,35.1,0.246
118,Iowa NCAA,30,20,10,0.667,24.31,18.51,,11,8,,12,3,,6,6,,2583,2409,,76.2,105,0.255,0.356,0.529,50.2,55.1,9.8,6.9,0.507,14.3,32,0.172
119,Iowa State NCAA,28,17,11,0.607,22.54,16.97,,12,6,,10,4,,6,6,,2156,2000,,73.6,96.2,0.255,0.319,0.501,48.7,57,8.6,14.7,0.469,14.1,25.3,0.185
120,IUPUI,20,15,5,0.75,12.31,-0.54,,11,3,,6,2,,9,3,,1402,1145,,69.5,81.4,0.225,0.337,0.469,43.9,50.6,11.3,6.3,0.44,20.5,21.9,0.159
121,Jackson State NCAA,24,18,6,0.75,-1.89,-9.35,,14,1,,11,0,,7,5,,1632,1453,,73.1,82.8,0.309,0.261,0.44,43.6,58.7,12.5,8.5,0.404,17.4,28.7,0.202
